0,thatcher told the un general assembly that the threat from global warming needed an equivalent response from the whole world. what progress is being made on reducing greenhouse gas emissions that
1,"marshall has this report. the dairy industry produces a large amount of the gases that help to heat the atmosphere and contribute to climate change, in order to supply us with our pints of milk. a cow's digestive process emits methane, a potent greenhouse gas."
2,"mooing the dairy industry produces a large amount of the gases that help to heat the atmosphere and contribute to climate change in order to supply us us with our pints of milk. a cow's digestive process emits methane, a potent greenhouse gas. there's also"
3,"it s the fourth and final week of our student challenge with a giant map of the world and different modes of transport, why? because transport is the biggest contributor to greenhouse gases. and"
4,"one of the big things we will look at is how we can reduce our transport not just in transport notjust in the uk, but also abroad, more of us are travelling abroad than ever before. it is also about our domestic energy use. the average uk home emits eight tonnes of greenhouse gases every"
5,"above the maximum limit of 1.5%, after which the risk of droughts, floods and extreme heat increases significantly. the green mp argued climate change was here now, and she said the government's response to what she called the climate crisis was nowhere"
6,"and, on the opposition benches, while many honourable members grasp the severity of this situation, the policy proposed by some of their participants aren't good enough either. it is not possible to tackle the climate crisis and expand airports or build new runways. we cannot be tackling climate change"
7,"to go on strike. they are inspired by swedish teenager greta thunberg, who protests weekly outside sweden's parliament. scientists say tougher measures are needed to cut global warming."
8,"teacher, i like to say i am still a geography teacher. geography covers this for many years. still today, people confuse the holes in the ozone layer with global warming."
9,against climate change. good afternoon.
10,net zero before 2050. it must be a clear strategy that we can all get behind. layla moran agreed saying the uk should have a target of zero carbon emissions. we have just 12 years before global warming rises
11,net zero before 2050. it must be a clear strategy that we can all get behind. layla moran agreed saying the uk should have a target of zero carbon emissions. we have just 12 years before global warming rises
12,"both of our parents are basically out here trying to get money. r kelly will appear in court again in the child support case on wednesday. peter bowes, bbc news. let's take you to greenland now for an important story on global warming."
13,"was a day that a climate change protest was to take place and many children were not in school, they we re were in open spaces around the country. hundreds in christchurch and in wellington at climate change"
14,"we have just 12 years before global warming rises above the maximum limit of i.5%, after which the risk of droughts, floods and extreme heat increases significantly. the green mp argued climate"
15,and that is growing rainfall. this microbiologist has been coming here for 12 years to study climate change.
16,"into our environment, contributing to climate change. science is conflicted on how to solve the problem. research commissioned by the british government suggested we would see a 38% reduction in greenhouse gases if we all move to a vegan diet."
17,about the difficulty of winning the democratic nomination in a crowded field - but would keep on trying to combat climate change.
18,in bi lateral relations. and we'll look at how viable lab-grown meat is. in terms of addressing climate change.
