0,"i'm still open minded. nobody really knows. reporter: exxon spent years denying burning fossil fuels contributes to climate change, under tillerson's time, the company softened its stance. while there are a range of possible outcomes, the risk posed by rising greenhouse gas"
1,"people responsible for carrying out certain elements of the policy with climate change. make no mistake, presidents call the shots and cabinet secretaries carry them out. so if he has raised questions in the past about climate change, and i think what he has raised has been exaggerated, he's questioned the degree and extent to which human element has caused global warming."
2,"nominee to head the energy department, that's an agency that the former texas governor once vowed to abolish. perry has long been an ally of big oil. and questioned the science leaking greenhouse gas emissions."
3,you saw chris and me get into a heated exchange about climate change. why is it so hard to talk about climate change without it
4,"pick to head the energy department. perry has been a longtime ali of big oil and questioned science linking greenhouse gases. gas emissions and climate change. during the primaries, he"
5,"climate change in opposition to the president he is about to serve. we will cancel this deal so that our companies can compete. tillerson supported the paris climate change agreement reached earlier this year, and has declared climate change a"
6,donald trump's pick for environmental protection agency administrator is a staunch climate change denier. giving democrats an environmental groups whip lash. after trump's highly publicized meetings with prominent climate change activists.
7,soon stymied by a recalcitrant congress. by a chorus of climate change deniers.
8,obama did. in the summer of 2015 -- there is such a thing as being too late when it comes to climate change. -- obama took aim at one of the key causes of climate change.
9,"mean, exxon has implemented some things that might help the environment. so it's not totally against the idea of instituting policies to fight climate change. well, carol, our investigation has never been about climate change policy and"
10,"his daughter ivanka, to focus on the issue. take the problem seriously. climate change is still climate change. that's still happening. that's still going to have to be dealt with one way or another. president obama sees climate"
11,"this? it wasn't all that long ago donald trump was saying climate change was a chinese hoax. and this suspect just any democrat or former vice president, this isn't just any opponent of climate change, this"
12,"brought death and disease. in cuba the passing of fidel castro raised questions about the future after a year of improving relations with the u.s. and everywhere the worst hot flash, still global warming as"
13,by a chorus of climate change deniers. and by the fact that americans just did not care about climate
14,"secretary of state. meantime, tillerson's views on climate change in opposition to the president he's about to serve. withe will cancel this deal our companies can compete. reporter: tillerson supported the paris climate change agreement reached earlier this year and has declared climate"
15,"there as he moves around. after speculation donald trump would moderate his stance on climate change, democrats are slamming his choice to lead the environmental protection agency. donald trump's pick is oklahoma attorney general scott pruitt. he's a climate change denier."
16,congress. by a chorus of climate change deniers. and by the fact that americans just did not care about climate
17,donald trump talks about deporting millions of undocumented immigrants and children. donald trump talks about cancelling u.s. participation in the paris climate change dpre t
18,stymied by a recalcitrant congress. by a chorus of climate change deniers. and by the fact that americans just did not care about climate
19,"to this point. that guy never had that raised ever before. now that we talk about secretary of state, instead of giving the guy his fair day to be questioned, you know, immediately, they're throwing grenades ton g s on the guy. he actually supports carbon tax"
20,but will others be saved by the progress made under president obama? maybe not because president-elect trump has said he believes climate change is a
21,pruitt to run the agency. there were a number of candidates. a signal the trump administration is intent on reversing president obama's move to curb climate change.
22,and home after home was destroyed by storms that grew stronger and stronger every year. the story of the village that disappeared is by no means isolate and it is by no means over. obama saw there a frightening future if global warming continued unabated.
23,one after another. i'm getting them in my inbox about scott pruit. first because of the fact that he's not just somebody who has been a climate change denier.
24,himself said he does believe in climate change. but this is who he feels comfortable with and the president gets to pick the person they want. i'm not denying the reality of the people he's chosen and it the does reflect the fact that in this case he's a climate change denier.
25,kept america on the cutting edge. it's meant investing in clean energy that's created a steady stream of good jobs and help america become the world's leader in combatting climate change.
26,"sending out this 74-question questionnaire to the department of energy? it's irresponsible. every single academy of science in the world, every single country has reached the conclusion that climate change"
27,"congress did not act. clean air, clean water. obama did. in the summer of 2015 -- there is such a thing as being too late when it comes to climate change."
28,"especially the selection of scott pruett. donald trump picked to lead the epa. here's more of my interview with carl icahn. scott pruett of oklahoma and a climate change denier,"
29,found themselves chasing beijing's delegation at that conference. why? we knew we had to get them to agree to something because there will be no effective efforts against climate change unless
30,"reporter: scott pruitt, donald trump's for environmental protection agency administrator is a staunch climate change denier. giving democrats an environmental groups whip lash. after trump's highly publicized meetings with prominent climate"
31,"interview with the new york times after the election where he acknowledged that human activity plays some role in global warming and when he met with al gore, there was sort of a little bit of hope that he might be moving past his campaign position that global"
32,morning. multiple sources tell cnn he has chosen exxon mobile ceo rex tillerson for the job. there are signs of trouble for the nomination and certainty over his views of climate change
33,"generations, i will. congress did not act. clean air, clean water. obama did. in the summer of 2015 -- there is such a thing as being too late when it comes to climate change."
34,reporter: obama's move puts a wrinkle in trump's plan for a massive roll back in environmental regulations. the question remains how will trump execute this roll-back strategy. . reporter: a climate change
35,taking getting into a war of words with a union leader over jobs actually saved at carrier. president-elect donald trump naming two more hardliners to his cabinet. elevating climate change denier
36,"barron, ivanka will host some duties. this has been done before. keep that in mind. she will also likely advise her father on a range of issues from family leave to climate change."
37,we are going to be a country in which the president of the united states is held to reasonable standards and conflicts of interest. we now have the four men of the climate change apocalypse.
38,cameras? is donald trump softening? is he throwing an olive branch? i'll give you one word. ivanka. i think this is all about ivanka. donald trump is on record calling climate change a hoax.
39,"elect. seemed like an impromptu meeting, that was the lengthier meeting of the two. afterwards, gore said it was productive, the two are looking for ways to find common ground. and that, of course, being one of the most intriguing parts. these two have not seen eye to eye on climate change. donald trump himself has called climate change a hoax."
40,"president, is going to be willing to accept facts from the intelligence community that contradict or conflict with his idealogical predispositions. you have him saying over the weekend again that the science of climate change is not"
41,"cuomo and alisyn camerota. good morning. welcome to 'new day.' it is thursday. 6:00 in the east. one month after the election, donald trump is churning out his cabinet picks. a climate change challenger to"
42,"thing. i think it's the only way to save our national security given this perilous moment. steve, phil, theodore, ann, thank you all very much. next on gps, donald trump has named a climate change head of"
43,"inconsistencies. but we will see. i do respect the american vote but now. what does it mean for you in europe? that's a big question mark. for me the big consequences of his election are number one, climate change."
44,time to reach this day. one of the reasons i ran for this office was to make america a leader in this mission. and america is now undoubtedly a leader. perhaps the leader on climate change.
45,fourth grader would find incredible suggest either that he's highly gullible or that he's so consumed with malice that he loses his ability to judge what's fact and what's fiction. those are tough words. he's a climate change science
46,reporter: that certainly is intriguing stay tuned coming from al gore. gore later on saying the meeting was a shared attempt to find common ground. the two have not always seen eye to eye over climate change.
47,"voted to leave the ravaged island and move to the mainland. but will others be saved by the progress made under president obama? maybe not, because president-elect trump has said he believes climate change is a"
48,"the epa. and so, it's clear the direction the trump administration is going. tillerson has been the head of a company that sort of in part for p.r. reasons has done a lot of research on climate change."
49,that debate is far from settled. scientists have continued to disagree of global warming and connection to mankind. this is something that climate change kept particulskeptics sa.
50,"in terms of the recent epa pick, the concern is that the attorney general from oklahoma is a denier of some of the science behind global warming. what do you know about pruitt and how can you reassure people who believe that it is scientific fact that man has a hand in the effects of global"
51,"in some ways, he would like to live without the epa. scott pruitt has challenged the climate change. he said earlier this year, global warming inspired the debate."
52,"this is an african phenomenon. three-quarters of immigration is from africa. it's not going to stop. i think we're just at the beginning of it. what it's doing is really together and surge and acceleration technology, climate change and globalization."
53,scott pruitt has fought those tooth and nail. and that is extremely dangerous. we saw the president-elect just this week on monday. he met with former vice president al gore. big advocate. one of the biggest advocates on climate change.
54,"that -- but he's picking someone who is where a lot of republicans are, right? his transition is filled with standard issue republicans, right. there aren't a lot of republicans like donald trump. and so he has always leaned towards being a climate change"
55,"inspired choice. so tillerson has the support of kick cheney, vladimir putin and donald trump. that only leaves one person. excellent. it's unanimous. tillerson is an interesting pick. for one thing, he's an oil man who believes in climate change."
56,"not. and can cities go their own way. the major of los angeles, the biggest city in the biggest state in the union on the power of the nation's mayors to resist and counter trump on immigrat n immigration, climate change and"
57,"meeting of the two. afterwards, gore said it was productive, the two are looking for ways to find common ground. and that, of course, being one of the most intriguing parts. these two have not seen eye to eye on climate change."
58,but maybe not when you initially saw them appointed to the co-equal positions in the nicent trump administration. i think you'll see it here. he is willing to have people in his upcoming administration who believe in climate change.
59,"have to do this, but this is not as fun as the first season. the first family was having fun, despite the nasty campaign. best cameo, president obama slow jamming the news on 'the tonight show.' climate change is real,"
60,"fossil fuels contributes to climate change, under tillerson's time, the company softened its stance. while there are a range of possible outcomes, the risk posed by rising greenhouse gas emissions could prove to be significant. reporter: outside of his work, tillerson, a father of"
61,"against excessive regulations from the epa that have driven up costs for american families and businesses and have been devoid of any real meaningful environmental benefits. but tonight, critics are pushing back hard, saying pruitt is a climate change denier."
62,"environment. that's absolutely right. although he hasn't been coy about sharing how he feels about the environment. he has been pretty vocal about his desire to roll back environmental regulations and, in his own words, cut billions of dollars in payments to the united nations climate change"
63,nuclear arsenal for non proliferation and things like that that is about 60% of their budget so not something he has expertise in. the i think the last two had degrees in physics. and work on climate change as well. the science underlying climate
64,"throughout the world. sunlen serfaty, very surprising meeting between donald trump and al gore. reporter: that's right, erin. certainly an intriguing meeting and notable that al gore was first only scheduled to sit down with trump's daughter, ivanka twru trump to talk about climate change."
65,"is place his through executive actions. i don't think there's any expectation that trump won't roll back those executive actions. he doesn't have to do this through congress. you know, he doesn't -- you know, i was covering this back in 2009, the climate change"
66,camerota. we say hello to you and welcome to your new day. president-elect donald trump announcing new appointments to his cabinet 30 days after claiming victory. trump picking another general. this is his third. this time to lead homeland security. he also tapped a climate change
67,"gore wore off? well, i think this is part of the, again, the unpredictability of the president-elect. we don't know exactly where he's going to come down. he is, i think he's on kind of a continuum here about climate change, for example."
68,our nuclear arsenal for non-proliferation and things like that. that's about 60% of their budget. so that's not something he has expertise in. i think the last two secretaries had degrees in physics. and then they work a lot on climate change as well.
69,i'm somebody that gets it and nobody really knows. it's not something that's so hard and fast. i do know this -- other countries are eating our lunch. so how do you unpack that. is he open minded or is he a climate change skeptic?
70,"admitting the climate change is real. in 2007, he said the risk of greenhouse gasses could be significant. in 2009, he endorsed a carbon tax on businesses over the proposed cap and trade policy. exxon mobile supported the paris"
71,"good morning. thanks for having me. let's start with the al gore meeting. you have been vocal. where do you think mr. trump is now on climate change and global warming, something that before"
72,"distribution in our state than most any other state in the country. so we are truly, in all of the above states, and that's happened in just the last eight years, as well. you know him well, you worked with him. do you believe he doesn't believe in climate change, that"
73,"donald trump's pick for head of the environmental protection agency isn't a general, isn't a billionaire. he's not al gore. not by a long shot. instead he's a vocal, active critic of the very agency he's been chosen to lead and has fought president obama's climate change policies."
74,"of course you can be a believer in clean air and clean water. and realize that when you look at global warming or are climate change, as it is now popularly called, that it is cyclical."
75,you write a lot about ivanka trump. is it surprising she would choose climate change since her father said global warming was a hoax? i spoke to a source close to her today and the source told me she's not choosing climate change. she's been very clear and very single minded in terms of the policies she has supported. she's going to keep focusing on issues related to women and
76,"along, but we are told they are planning to move to washington. they're looking for houses there at the very least. she's going to have a key role inside the white house from a social aspect as well as a policy aspect. al gore, of course, was there to talk about climate change with"
77,"as for climate change, pruitt wrote in the national review just a few months ago that the link between global warming and human activity is far from settled. incoming senate minority leader chuck schumer saying pruitt's reluctance to accept the facts"
78,"protecting our environment and climate change and global warming, the number one mission is for clean air and water for all americans, regardless of race or income or where you live. that's the number one goal. our question is, how do you go"
79,clean of the of her father's most extreme positions. a similar question emily. you write a loot about ivanka trump. is it surprising she would choose climate change since her father said global warming was a hoax? i spoke to a source close to
80,"country still spending money on the global warming hoax? he has since said he is open-minded on the issue. so, kind of cloudy where donald trump stands on climate change. with me now is tony rear condition the national president of the national treasury employees union."
81,really open-minded about climb the change and actually did work toward some positive policy for those who want to combat climate change. plenty of gop congress members believe in the science -- yes. of human impact on global warming. so that will be controversial.
82,"contribute to climate change, and to global warming, and to now meeting in a very high profile way with al gore. that's one thing on that issue which has a lot of appeal to independents. secondly, remember when he was in cincinnati last week."
83,"running the epa is like the fox guarding the hen house. pad the profits of big polluters at the expense of public health. as for climate change, pruitt wrote in the national review just a few months ago that the link between global warming and human activity is far from settled."
84,"is like the fox guarding the hen house. pad the profits of big polluters at the expense of public health. as for climate change, pruitt wrote in the national review just a few months ago that the link between global warming and human activity is far from settled."
85,"stands when it comes to climate change. here's what he said in the past. first he said, the concept of global warming was created by and for the chinese in order to make the u.s. manufacturing noncompetitive. and then he said, is our country still sending money -- is our            _"
86,"extent of global warming and its advanced connection to the actions of mankind.' he's a climate denier. why is that a good idea to have him as epa chief? well, first of all, i believe climate change is real, i believe it's man made and i believe it's the greatest threat"
87,"he has fought to pad the profits of big polluters at the expense of public health. as for climate change, pruitt wrote in the national review just a few months ago that the link between global warming and human activity is far from settled. incoming senate minority leader chuck schumer saying pruitt's"
88,"regulations on greenhouse gas emissions. in fact, we mentioned that we're prepared to sue. we're prepared to sue the obama administration. my office sent notice of intent to sue when they were not getting out the greenhouse gas regulations too quickly. so this is not something that is limited to republican or democratic administrations. but i think that the level of"
89,"my first question, though, i'm not completely satisfied on yet which is, i don't get that intell intellectual exercise to find out who worked on global warming. why do you need to know who worked on global warming? look, i know the current"
90,"will peel off on he doesn't accept the science on what is causing global warming. plenty of gop senators who believe in global warming and it's human impact. we're looking at it from the democratic side criticizing him, but you also have democrats like"
91,"going on with carbon emissions and global warming as impact? the scientific community has consensus in that, yes, that is what is causing global warming. he's just not sure. he said he's not sure exactly what the consequences are. that means he doesn't accept"
92,by a chorus of climate change deniers. and by the fact that americans just did not care about climate change. it was ranked the 11th most
93,"that is concerning to the world and certainly concerning to america. if rex tillerson is nominated and confirmed, he would be the american ambassador on climate"
94,"ambassador on climate change. he is under investigation for misleading shareholders. tillerson is by no means a climate change denier. since taking the helm in 2006, he shifted the exxon stance"
95,by a chorus of climate change deniers. and by the fact that americans just did not care about climate change. it was ranked the 11th most important issue during the 2008
96,"chunks of land sheered away, and home after home was destroyed by storms that grew stronger and stronger every year. the story of the village that disappeared is by no means isolated, and it's by no means over. obama saw in shishmaref a frightening future if global"
97,national energy tax. by a recalcitrant congress. by a chorus of climate change deniers. and by the fact that americans just did not care about climate change. it was ranked the 11th most
98,"xhen that's erbil press and alice stewart, cnn political commentator, republican strategist and former communications director for ted cruz. alice, first to you, can we just all agree, i mean, climate"
99,greenhouse gas emissions could prove to be significant. so been our view for some time it is prudent to take action. and topping rick perry to become secretary of energy. perry recently an nrnltic
100,"they're all feeding together. so more climate change drives more immigration. i was just in africa a couple of mornts ago. you can trace what's going on, small scale farming is collapsing because of climate change of population growth."
101,protection agency administrator is a staunch climate change denier. giving democrats an environmental groups whip lash. after trump's highly publicized meetings with prominent climate change activists. attorney general pruitt has a strong conservative record as a
102,campaign promise to withdraw from the parties agreement. the landmark deal to combat climate change. but the president-elect has been meeting with climate change activists and he has said he has an open mind on the topic of
103,"climate change was a hoax created by the chinese. since being elected attorney general, he has seemed to soften on that, noting there is some human connectivity in interviews with regard to climate change, since epa is obviously something"
104,"long, in depth conversations with people about the policy of climate change, about the science behind climate change. he was opposed to it, because that's what you do when you're in a republican primary. and he's impressionable."
105,"the epa will repeal the clean power plan. and there will be no federal program to reduce carbon dioxide or other greenhouse gas emiss n emissions. you heard me there, david be talking about donald trump's"
106,donald trump's transition facing new resistance from the obama administration as the handoff of power nears. the department of energy refusing to comply with the trump team's request to name employees who worked on climate
107,"we will cancel this deal so that our companies can compete. reporter: tillerson supported the paris climate change agreement reached earlier this year, and has declared climate change a problem. at odds with trump. where are you on the environment? very open minded."
108,"tillerson supported the paris climate change agreement reached earlier this year, and has declared climate change a problem, at odds with trump. where are you on the environment? i'm still open minded. nobody really knows. reporter: while exxon spent years denying that burning"
