0,they are on their side. 9 of the 12 signed on to the pledge on greenhouse gases that they wanted americans for prosperity to take. what was that pledge? here it is. they said the pledge on greenhouse gases is ask
1,some opposition from other conservative groups and he made a lot of steps basically sort of toughening up his rhetoric on the epa in particular and it's role in regulating greenhouse gases.
2,"in the house in the last election, the house energy committee like all committees is now republican controlled, and most of the republicans on that energy committee signed a pledge given to them by americans for prosperity saying they would oppose the obama administration's plans to regulate greenhouse gases."
3,they funded 35 conservative or libertarian groups. they fought 48 million to fight global warming groups.
4,already we're already dramatically cutting down on paperwork for administrative costs. we're improving the way the fda evaluates things like medical devices to get treatments to market faster. and the epa delayed the greenhouse gas permitting rules
5,"to regulate greenhouse gases. you say possible climate change. like you to read the bill. you're saying you believe that the climate is changing, but you're not convinced that"
6,where another official said an american born islamic cleric now tops osama bin laden as the biggest threat to the u.s. england's prince charles lashed out at climate change
7,"how much they pollute, well, we can't say. and they want to keep it that way. since there is no mandatory carbon reporting in the united states, koch industries has a lot to lose if we move ahead on climate change legislation and"
8,"the republican table in washington. let's be up front about this now, folks. now they are the table. the koch industries is one of the biggest polluters in the united states. as we reported here on 'the ed show' the kochs stand to lose up to $40 billion a year under proposed climate change legislation."
9,"or insurrection. in montana, a bill called global warming quote a natural occurrence which is beneficial to the welfare and business climate of montana. that's all you have to do. go away. climate change goes away. unless i'm wrong, these are most"
10,"fact whence we return on this issue. plus, the latest problem republicans have with also gore's position on global warming. apparently it's his personal life. this gop for not acting on climate change takes the cake. i literally couldn't believe it when i heard it."
11,"invasion, rebellion or insurrection. in montana, a bill called global warming quote a natural occurrence which is beneficial to the welfare and business climate of montana. you just say it, that's all you have to do. go away. climate change goes away. unless i'm wrong, these are most"
12,prosperity saying they would oppose the obama administration's plans to regulate greenhouse gases. also say they have plans to
13,regulation of greenhouse gases and the gop is working hard to appease these guys. a bill to eliminate epa regulations of car emissions. lovely.
14,of greenhouse gases. now you get the picture. and next on the committee's agenda replacing restrictions on the environmental protection agency which we don't need. joining me now tonight is the
15,"prosperity saying they would oppose the obama administration's plans to regulate greenhouse gases. also say they have plans to restrict the reach of the epa, which has oversite of koch industries."
16,"politicians to denounce a democratic led effort to compel oil refineries to clean up emissions of greenhouse gases through a so-called cap and trade system. now, do you get what's happening here? they are in the oil business and"
17,committee signed koch sponsored pledge to oppose the regulation of greenhouse gases. now you get the picture. and next on the committee's agenda replacing restrictions on the environmental protection agency which we don't need. joining me now tonight is the
18,"says that the clean air act did not give the epa the authority to regulate greenhouse gases. well, it's interesting because obviously when it was created in 1990, graen house gases were not an issue at all. this is going to be decided in the courts."
19,"the right wing talking point on global warming. tell us a little bit about that. where was his original position and where is he now? well, his original position and his original statements indicate that he at the very least considered global warming a serious problem that needed to"
20,"gating any regulation concerning climate change. are you saying that you are not convinced that climate change is occurring? what we're saying is this. the clean air act when it was passed in the early '90s, did not give the epa the authority"
